threshold,density,success,time_ms,selected,trial
0.25,0.45000000000000007,True,12.135962738152749,PPO,24
0.25,0.45000000000000007,True,7.095275673655348,PPO,25
0.25,0.45000000000000007,False,14.69324690213404,PPO,26
0.25,0.45000000000000007,True,14.690181895233996,PPO,27
0.25,0.45000000000000007,True,16.0924393036856,PPO,28
0.25,0.45000000000000007,False,10.676500541481177,PPO,29
0.25,0.45000000000000007,True,9.151787430248943,PPO,30
0.25,0.45000000000000007,True,13.834917597768943,PPO,31
0.25,0.45000000000000007,False,9.918167003111638,PPO,32
0.25,0.45000000000000007,True,11.165149487269666,PPO,33
0.25,0.45000000000000007,True,13.728316765146461,PPO,34
0.25,0.45000000000000007,True,17.76821390259654,PPO,35
0.25,0.45000000000000007,True,10.367007046590055,PPO,36
0.25,0.45000000000000007,False,13.38240044764358,PPO,37
0.25,0.45000000000000007,False,14.913835286739648,PPO,38
0.25,0.45000000000000007,True,8.985911784621013,PPO,39
0.25,0.45000000000000007,True,12.189773445241112,PPO,40
0.25,0.45000000000000007,True,14.997013069991771,PPO,41
0.25,0.45000000000000007,True,15.22286502382329,PPO,42
0.25,0.45000000000000007,False,14.578206181039771,PPO,43
0.25,0.45000000000000007,True,11.742992983851236,PPO,44
0.25,0.45000000000000007,True,9.617659196111887,PPO,45
0.25,0.45000000000000007,True,8.740577621634158,PPO,46
0.25,0.45000000000000007,True,8.390926964936497,PPO,47
0.25,0.45000000000000007,False,12.174511195401797,PPO,48
0.25,0.45000000000000007,True,12.744477458460196,PPO,49
0.25,0.5000000000000001,True,10.216775401417078,PPO,0
0.25,0.5000000000000001,True,16.5018241779713,PPO,1
0.25,0.5000000000000001,False,11.317312586486057,PPO,2
0.25,0.5000000000000001,True,11.853175392458212,PPO,3
0.25,0.5000000000000001,True,16.950691220265067,PPO,4
0.25,0.5000000000000001,True,10.733941742938423,PPO,5
0.25,0.5000000000000001,True,14.88041774178366,PPO,6
0.25,0.5000000000000001,False,17.5301817754216,PPO,7
0.25,0.5000000000000001,True,16.116350952712715,PPO,8
0.25,0.5000000000000001,True,8.823605270411083,PPO,9
0.25,0.5000000000000001,False,16.176084893244813,PPO,10
0.25,0.5000000000000001,True,16.492577201824798,PPO,11
0.25,0.5000000000000001,False,13.170583524303348,PPO,12
0.25,0.5000000000000001,True,9.93548945143292,PPO,13
0.25,0.5000000000000001,True,17.75293209709089,PPO,14
0.25,0.5000000000000001,True,11.271759864576296,PPO,15
0.25,0.5000000000000001,False,18.812917992749107,PPO,16
0.25,0.5000000000000001,True,12.468236083501166,PPO,17
0.25,0.5000000000000001,True,11.731893412413786,PPO,18
0.25,0.5000000000000001,True,13.921730550874491,PPO,19
0.25,0.5000000000000001,False,12.871668822979098,PPO,20
0.25,0.5000000000000001,True,13.339354993076144,PPO,21
