trial,world,rho0,used_astar,astar,bc,adaptive,astar_route_efficiency,bc_route_efficiency,adaptive_route_efficiency,astar_decision_ms,bc_decision_ms,adaptive_decision_ms
1292,dense,0.6056,False,1,1,1,0.8793,1.0148,1.0148,1.0343,0.6612,0.6597
1293,sparse,0.1889,True,1,1,1,0.6794,0.7223,0.6794,1.0867,0.7873,1.0807
1294,very_dense,0.7250,False,1,1,1,0.7960,1.6642,1.6642,1.8590,0.7850,0.7752
1295,dense,0.7417,False,1,1,1,0.8554,0.9440,0.9440,0.9156,0.6724,0.6577
1296,sparse,0.4472,False,1,1,1,0.5491,0.5732,0.5732,1.7199,1.1046,1.0928
1297,very_dense,0.8444,False,0,0,0,0.0739,0.2918,0.2918,3.6792,0.6126,0.6167
1298,dense,0.7944,False,1,1,1,0.8792,0.9585,0.9585,0.9450,0.6944,0.7019
1299,sparse,0.1222,True,1,1,1,0.8346,0.8473,0.8346,0.6785,0.5550,0.6741
1300,very_dense,0.5528,False,1,1,1,0.6709,0.6585,0.6585,4.3155,2.2153,2.1886
1301,dense,0.7778,False,1,1,1,0.8822,0.9322,0.9322,1.0581,0.7631,0.7563
1302,very_dense,0.8361,False,0,0,0,0.7880,0.5649,0.5649,0.8393,0.6309,0.6281
1303,very_dense,0.8500,False,0,1,1,0.3170,1.0821,1.0821,3.2667,0.8406,0.8482
1304,dense,0.7528,False,1,1,1,0.8283,0.9427,0.9427,1.1828,0.7750,0.7752
1305,very_dense,0.7000,False,1,0,0,0.8502,1.3311,1.3311,1.4693,0.6241,0.6633
1306,sparse,0.3444,False,1,1,1,0.7511,0.7533,0.7533,0.8036,0.6693,0.6624
1307,sparse,0.5806,False,1,1,1,0.8746,0.8742,0.8742,0.5795,0.5198,0.5165
1308,dense,0.9083,False,1,1,1,0.8321,0.9796,0.9796,1.2540,0.7989,0.7847
1309,very_dense,0.6722,False,1,1,1,0.8604,1.3026,1.3026,1.5054,0.6769,0.6744
1310,dense,0.7583,False,1,1,1,0.8905,1.0137,1.0137,0.8576,0.5800,0.5790
1311,dense,0.8139,False,1,0,0,0.8670,1.0985,1.0985,0.8270,0.5084,0.5089
1312,very_dense,0.8917,False,1,1,1,0.8008,1.0268,1.0268,1.9684,1.0278,1.0244
1313,very_dense,0.9056,False,1,1,1,0.8777,1.0868,1.0868,1.1625,0.7616,0.7611
1314,very_dense,0.8417,False,1,1,1,0.7860,0.8782,0.8782,2.2459,1.2603,1.2555
1315,sparse,0.4639,False,1,1,1,0.9354,1.0495,1.0495,0.4736,0.4279,0.4302
1316,very_dense,0.8639,False,1,0,0,0.8789,0.4250,0.4250,0.9333,0.6102,0.6106
1317,dense,0.3833,False,1,1,1,0.8609,0.9539,0.9539,1.0107,0.7092,0.7052
1318,dense,0.7500,False,1,1,1,0.8611,1.0156,1.0156,0.7969,0.6058,0.5935
1319,dense,0.6750,False,1,1,1,0.8098,0.8069,0.8069,1.4007,0.9691,0.9597
1320,sparse,0.3694,False,1,1,1,0.8832,0.9260,0.9260,0.5579,0.4839,0.4818
1321,sparse,0.4194,False,1,0,0,0.8885,0.7370,0.7370,0.4877,0.4705,0.4674
1322,dense,0.7417,False,1,1,1,0.8709,0.9709,0.9709,0.8711,0.6662,0.6375
1323,very_dense,0.7500,False,0,0,0,0.6893,0.3228,0.3228,0.8830,0.6318,0.6207
1324,very_dense,0.8278,False,1,0,0,0.8580,0.6006,0.6006,1.0637,0.6021,0.6017
1325,sparse,0.1556,True,1,1,1,0.9038,0.9180,0.9038,0.4868,0.4722,0.4860
1326,very_dense,0.7417,False,1,1,1,0.8972,1.1391,1.1391,0.9407,0.6694,0.6677
1327,sparse,0.3250,False,1,1,1,0.8353,0.7932,0.7932,0.6039,0.5363,0.5328
1328,very_dense,0.7250,False,1,1,1,0.8291,0.9307,0.9307,1.6226,0.9816,0.9860
1329,dense,0.6222,False,1,1,1,0.7310,0.7716,0.7716,2.3013,1.3485,1.3492
1330,dense,0.7778,False,1,1,1,0.8632,0.9784,0.9784,0.9256,0.6721,0.6650
1331,very_dense,0.8778,False,1,1,1,0.8625,0.9619,0.9619,1.3227,0.8688,0.8589
1332,dense,0.6694,False,1,1,1,0.8560,0.9060,0.9060,1.1132,0.7817,0.7670
1333,very_dense,0.9000,False,0,0,0,0.7081,0.2152,0.2152,0.8453,0.6176,0.6281
1334,dense,0.5333,False,1,0,0,0.8495,1.5179,1.5179,1.2123,0.5037,0.4979
1335,very_dense,0.8556,False,0,0,0,0.0767,0.6625,0.6625,3.8865,0.6170,0.6142
1336,dense,0.4222,False,1,1,1,0.8437,0.9053,0.9053,1.2542,0.8297,0.8292
1337,sparse,0.7639,False,1,1,1,0.8800,1.0846,1.0846,0.6325,0.4841,0.4810
1338,very_dense,0.8583,False,1,1,1,0.8658,0.9019,0.9019,1.1477,0.8098,0.8107
1339,dense,0.6500,False,1,1,1,0.7987,0.7632,0.7632,1.2723,0.9294,0.9341
1340,dense,0.4417,False,1,1,1,0.8152,0.7714,0.7714,1.7363,1.1616,1.1594
1341,sparse,0.2306,True,1,1,1,0.8715,0.8687,0.8715,0.5199,0.4757,0.5207
1342,sparse,0.1833,True,1,1,1,0.6801,0.6946,0.6801,0.8758,0.6685,0.8653
1343,dense,0.4444,False,1,1,1,0.8731,1.3720,1.3720,1.1025,0.6239,0.6206
1344,sparse,0.1611,True,1,1,1,0.8055,0.8248,0.8055,0.8132,0.6265,0.8273
1345,very_dense,0.7528,False,1,0,0,0.7761,1.1860,1.1860,1.8572,0.5888,0.5838
1346,very_dense,0.6556,False,1,0,0,0.7709,1.5217,1.5217,1.6759,0.5913,0.5926
