trial,world,rho0,used_astar,astar,bc,adaptive,astar_route_efficiency,bc_route_efficiency,adaptive_route_efficiency
310,dense,0.6667,False,1,1,1,0.9096,1.0556,1.0556
311,very_dense,0.8500,False,1,1,1,0.7775,0.8746,0.8746
312,sparse,0.7528,False,1,1,1,0.9150,0.8953,0.8953
313,sparse,0.4500,False,1,1,1,0.9091,0.9058,0.9058
314,sparse,0.4778,False,1,1,1,0.5454,0.5464,0.5464
315,dense,0.6667,False,1,1,1,0.8203,0.8654,0.8654
316,very_dense,0.8333,False,0,0,0,0.1888,0.5859,0.5859
317,very_dense,0.7944,False,1,0,0,0.6848,1.5702,1.5702
318,very_dense,0.8611,False,1,1,1,0.8194,0.8855,0.8855
319,very_dense,0.8306,False,1,1,1,,,
320,sparse,0.4639,False,1,1,1,0.8335,0.8408,0.8408
321,sparse,0.2333,True,1,1,1,0.8600,0.8844,0.8600
322,dense,0.5639,False,1,1,1,0.6275,0.6625,0.6625
323,very_dense,0.6944,False,0,0,0,0.6869,0.4011,0.4011
324,very_dense,0.7222,False,0,0,0,,,
325,sparse,0.5139,False,1,1,1,0.8907,0.9176,0.9176
326,sparse,0.6389,False,1,1,1,0.7048,0.7750,0.7750
327,sparse,0.1861,True,1,1,1,0.9158,0.9152,0.9158
328,sparse,0.5250,False,1,1,1,0.9117,1.0082,1.0082
329,dense,0.8000,False,1,1,1,0.8845,0.9608,0.9608
330,dense,0.8000,False,1,1,1,0.9016,0.9873,0.9873
331,dense,0.4222,False,1,1,1,0.8547,0.8938,0.8938
332,sparse,0.3472,False,1,1,1,0.8452,0.9278,0.9278
333,very_dense,0.7083,False,1,0,0,0.9006,1.5193,1.5193
334,dense,0.4806,False,1,1,1,0.8659,0.9443,0.9443
335,very_dense,0.8222,False,1,1,1,0.6974,0.6905,0.6905
336,very_dense,0.7833,False,1,1,1,0.8530,1.0722,1.0722
337,sparse,0.0667,True,1,1,1,0.8084,0.8003,0.8084
338,sparse,0.2778,True,1,1,1,0.9412,0.9935,0.9412
339,very_dense,0.6694,False,1,1,1,0.8391,1.1232,1.1232
340,dense,0.5639,False,1,1,1,0.8694,0.8704,0.8704
341,sparse,0.4528,False,1,1,1,0.7953,0.8977,0.8977
342,dense,0.5222,False,1,1,1,0.8924,1.0516,1.0516
343,dense,0.4389,False,1,1,1,0.8300,0.9138,0.9138
344,very_dense,0.8667,False,1,1,1,,,
345,sparse,0.4250,False,1,1,1,0.6815,0.6857,0.6857
346,very_dense,0.7083,False,1,1,1,0.8146,0.9100,0.9100
347,very_dense,0.7667,False,1,0,0,0.7811,1.1224,1.1224
348,sparse,0.3250,False,1,1,1,0.9190,0.8648,0.8648
349,sparse,0.5917,False,1,1,1,0.9118,0.9257,0.9257
350,dense,0.4167,False,1,0,0,0.8730,0.9751,0.9751
351,sparse,0.2833,True,1,1,1,0.7798,0.7321,0.7798
352,sparse,0.3889,False,1,1,1,0.8819,0.9401,0.9401
353,dense,0.4167,False,1,1,1,0.8211,0.7890,0.7890
354,very_dense,0.7028,False,1,1,1,0.8763,0.9730,0.9730
355,very_dense,0.8611,False,1,0,0,0.8523,0.6072,0.6072
356,sparse,0.4000,False,1,1,1,0.8062,0.7520,0.7520
357,very_dense,0.7250,False,0,0,0,0.6367,0.3411,0.3411
358,sparse,0.3972,False,1,1,1,0.8326,0.8224,0.8224
359,very_dense,0.8806,False,1,1,1,0.8549,1.1034,1.1034
360,very_dense,0.5583,False,1,0,0,0.8728,1.4894,1.4894
361,very_dense,0.8583,False,0,0,0,,,
362,sparse,0.5778,False,1,1,1,0.8476,1.1403,1.1403
363,very_dense,0.7500,False,1,1,1,0.8705,0.9651,0.9651
364,sparse,0.6444,False,1,1,1,0.8838,0.8767,0.8767
365,dense,0.7167,False,1,1,1,0.7075,0.7143,0.7143
366,dense,0.7417,False,1,1,1,,,
367,sparse,0.4694,False,1,1,1,0.9218,0.9684,0.9684
368,sparse,0.5694,False,1,1,1,0.6938,0.7374,0.7374
369,very_dense,0.7167,False,1,1,1,0.8142,1.2648,1.2648
370,dense,0.8972,False,1,1,1,0.8634,0.8985,0.8985
371,dense,0.7083,False,1,1,1,0.8771,0.9954,0.9954
372,dense,0.5694,False,1,1,1,0.8682,0.8645,0.8645
373,dense,0.4528,False,1,1,1,0.8797,1.3144,1.3144
374,very_dense,0.7222,False,1,1,1,0.9169,1.0225,1.0225
375,sparse,0.4083,False,1,0,0,0.8913,0.9236,0.9236
376,very_dense,0.8556,False,0,0,0,0.6992,0.4887,0.4887
377,very_dense,0.6333,False,0,1,1,,,
378,dense,0.6083,False,1,1,1,,,
379,sparse,0.4694,False,1,1,1,0.8710,1.0018,1.0018
380,sparse,0.4056,False,1,1,1,0.9287,1.0052,1.0052
381,very_dense,0.7389,False,1,1,1,0.6903,0.6783,0.6783
382,very_dense,0.8333,False,1,1,1,0.8336,0.9438,0.9438
383,sparse,0.1639,True,1,1,1,0.7369,0.7230,0.7369
384,sparse,0.1556,True,1,1,1,0.7433,0.7273,0.7433
385,sparse,0.2222,True,1,1,1,0.8866,0.9517,0.8866
386,sparse,0.2639,True,1,1,1,0.8613,1.1515,0.8613
387,very_dense,0.7167,False,1,1,1,0.7976,1.0450,1.0450
388,very_dense,0.8528,False,1,1,1,0.8197,0.8474,0.8474
389,sparse,0.2306,True,1,1,1,0.6236,0.6474,0.6236
390,very_dense,0.7278,False,1,0,0,0.8376,1.0812,1.0812
391,sparse,0.5333,False,1,1,1,0.8745,1.0197,1.0197
392,dense,0.6667,False,1,1,1,0.8207,0.8271,0.8271
393,dense,0.7944,False,1,1,1,0.8206,1.1024,1.1024
394,very_dense,0.7417,False,0,0,0,0.5958,0.3218,0.3218
395,very_dense,0.5972,False,1,1,1,0.8078,0.9583,0.9583
396,sparse,0.1833,True,1,1,1,0.8676,1.1003,0.8676
397,sparse,0.3639,False,1,1,1,0.8504,0.9350,0.9350
398,sparse,0.5917,False,1,1,1,0.8725,0.9780,0.9780
399,sparse,0.3667,False,1,1,1,0.7789,0.7859,0.7859
400,very_dense,0.7167,False,0,1,1,,,
401,very_dense,0.7833,False,0,1,1,,,
402,sparse,0.4333,False,1,1,1,0.9005,0.8499,0.8499
403,very_dense,0.8806,False,0,1,1,,,
404,dense,0.4583,False,1,1,1,0.6456,0.6567,0.6567
405,dense,0.5806,False,1,1,1,0.7460,0.8941,0.8941
406,dense,0.7583,False,1,1,1,0.8881,0.9084,0.9084
407,sparse,0.5111,False,1,1,1,0.8737,0.8495,0.8495
408,very_dense,0.9056,False,1,1,1,0.8767,1.0615,1.0615
409,sparse,0.2139,True,1,1,1,0.8455,0.7840,0.8455
