threshold,target_density,actual_density,trial,success,planning_time_ms,selected_planner,path_length,start_x,start_y,goal_x,goal_y
0.25,0.30000000000000004,0.3018,16,True,12.260508562402668,ppo,7,63.69288810366438,30.240726804818934,67.99726374248837,15.71677016013967
0.25,0.30000000000000004,0.3018,17,True,9.415885252956913,ppo,23,71.50439704080088,34.32161331771634,53.878459881326755,91.1406502861854
0.25,0.30000000000000004,0.3018,18,False,10.081264298576114,ppo,0,56.39744083743116,21.816418640138288,56.869862755115186,84.26525603895176
0.25,0.30000000000000004,0.3018,19,False,11.634167605854671,ppo,0,89.42300028565073,42.678586702184866,39.680162712747595,19.108291373143373
0.25,0.30000000000000004,0.3018,20,True,8.586832480319334,ppo,14,29.775614229355043,92.20715128622754,8.099874977291908,70.19298034338996
0.25,0.30000000000000004,0.3018,21,True,6.727741612714201,ppo,16,73.38619392437793,44.56505762003497,34.800560740697534,50.86722147987211
0.25,0.30000000000000004,0.3018,22,False,10.272978347464484,ppo,0,57.53328994881008,44.876729669164035,20.929672197682045,83.09073803043236
0.25,0.30000000000000004,0.3018,23,True,11.65600143753525,ppo,18,46.53670863734492,79.70617404557085,94.77246476370601,78.9483771488754
0.25,0.30000000000000004,0.3018,24,True,10.868783431334874,ppo,17,48.28212426423609,35.830603690675716,50.03393094655624,71.24020228492824
0.25,0.30000000000000004,0.3018,25,True,8.87593775935156,ppo,13,50.40541007912706,39.55778665347554,20.719236768651136,39.96953270313095
0.25,0.30000000000000004,0.3018,26,True,14.242679348964687,ppo,25,52.299888334150005,7.2914735618044215,84.4407864923867,47.626260088713224
0.25,0.30000000000000004,0.3018,27,False,8.975014429261524,ppo,0,23.095863286865644,70.83249930109606,34.37026495097882,13.032585695878348
0.25,0.30000000000000004,0.3018,28,True,7.475126841362089,ppo,12,53.55096894133082,70.85037530796603,34.96269373210589,83.59746279142888
0.25,0.30000000000000004,0.3018,29,True,8.303646686270525,ppo,9,70.69337423549689,79.79960889481345,79.33651842211277,64.17698421967252
0.25,0.30000000000000004,0.3018,30,True,5.674834910523661,ppo,32,94.36490008546342,49.924333000960445,19.709825779816185,18.12725058340782
0.25,0.30000000000000004,0.3018,31,False,8.137901941373467,ppo,0,23.908965207723007,52.00896243119344,61.75598575980374,64.59418957027228
0.25,0.30000000000000004,0.3018,32,False,8.984882342701969,ppo,0,73.11162422229262,5.444377886930418,80.5843909606631,6.511633154465464
0.25,0.30000000000000004,0.3018,33,True,6.66908517245442,ppo,22,74.89957673414611,56.72832754371582,54.98195717519155,9.193081773798164
0.25,0.30000000000000004,0.3018,34,False,7.77642913670215,ppo,0,66.8378669629524,54.88844619405524,29.73036361975385,47.867667890508926
0.25,0.30000000000000004,0.3018,35,True,8.748961245010452,ppo,37,5.313473125911042,85.31797360592573,93.95326046261437,74.10634466644132
0.25,0.30000000000000004,0.3018,36,True,10.90252726644959,ppo,20,48.45904048273729,72.73224289087236,26.4984266151215,28.95270623217205
0.25,0.30000000000000004,0.3018,37,True,9.353491884313794,ppo,12,85.05368551540384,21.83989721696249,80.52574016967854,51.027980236721596
0.25,0.30000000000000004,0.3018,38,True,10.61920272057459,ppo,2,78.69943359199591,40.33714441671865,77.93182376860675,39.465909842976956
0.25,0.30000000000000004,0.3018,39,False,5.22865200500779,ppo,0,53.32721343061869,25.774026251029163,69.57444651170061,55.42342119416733
0.25,0.30000000000000004,0.3018,40,True,9.673164141245508,ppo,14,13.280445855616573,70.70513088275418,20.74139748578703,35.87944545984355
0.25,0.30000000000000004,0.3018,41,True,8.634677124924165,ppo,16,75.85362812398135,72.11046054554737,47.00394121604031,48.597686469371865
0.25,0.30000000000000004,0.3018,42,True,7.589632873380762,ppo,16,20.100716876809145,86.77670113276187,50.837748649458256,64.08834872983405
0.25,0.30000000000000004,0.3018,43,True,8.592690069821543,ppo,29,21.936848190999807,45.129347462133026,75.8914442747376,20.91098376942225
0.25,0.30000000000000004,0.3018,44,True,15.101245785220593,ppo,22,89.95402747880318,71.97982826211975,69.7332845226619,22.322930940559562
0.25,0.30000000000000004,0.3018,45,True,10.904808279467579,ppo,21,48.717522887736784,68.23630617056207,84.24635447680691,34.31701480398823
0.25,0.30000000000000004,0.3018,46,True,9.07847843071022,ppo,5,77.30440551816773,35.146069190590424,68.58417623153049,27.92675040458846
0.25,0.30000000000000004,0.3018,47,False,9.177113431657373,ppo,0,81.03836331598367,82.01026718853164,52.17542396080674,53.56632572613766
0.25,0.30000000000000004,0.3018,48,True,7.938985207553774,ppo,28,52.20454242555405,8.280636384194835,75.77911175416094,63.616533903643045
0.25,0.30000000000000004,0.3018,49,True,15.979987774560675,ppo,21,82.69204069125627,88.00725499287233,61.356012095030785,52.01640344729969
0.25,0.4,0.3976,0,True,17.14448051506745,ppo,38,13.844176568127475,93.27432083163787,91.58631899300312,87.42729179289718
0.25,0.4,0.3976,1,True,11.940304374125347,ppo,17,15.4109977938713,41.10229675577472,81.70897682690298,34.38635415326455
0.25,0.4,0.3976,2,True,12.415637871524082,ppo,8,18.531144962253855,19.827199501775574,17.581507735583415,33.796864994130075
0.25,0.4,0.3976,3,True,15.754401924980257,ppo,25,75.46320133706223,41.74790758897854,17.887479233959688,37.90655983487795
0.25,0.4,0.3976,4,True,9.558950005753912,ppo,19,60.96047412656534,26.31191471762445,31.927116749848825,56.316518477210515
0.25,0.4,0.3976,5,True,11.000302685304554,ppo,13,5.191131240664168,89.67092903253108,29.152873262425572,14.77836840620631
0.25,0.4,0.3976,6,True,17.529415745681796,ppo,17,62.75988630325545,17.52867326253681,61.94285026933608,59.50096288428501
0.25,0.4,0.3976,7,True,10.609039161401034,ppo,36,62.488312377600764,63.015802405611865,5.974741706536594,7.407157499703141
0.25,0.4,0.3976,8,True,13.875417829723196,ppo,8,74.28254320636313,71.6583724726024,61.448345850639505,60.41694831116248
0.25,0.4,0.3976,9,False,10.425533003640032,ppo,0,8.86587952162621,60.36172011836314,6.400328950414826,45.250674346349406
0.25,0.4,0.3976,10,True,8.888358001697132,ppo,23,69.22550552124153,32.709978858854505,20.821380012335098,13.866892039329242
0.25,0.4,0.3976,11,True,9.412998900855731,ppo,18,54.772724584989824,7.8511301765573265,27.3206459192339,23.251363948496333
0.25,0.4,0.3976,12,True,14.940790787327284,ppo,21,59.19876487753308,36.57644334642573,12.935305136008957,18.995532770892908
0.25,0.4,0.3976,13,True,6.44051172736074,ppo,37,15.946520443886014,24.796603940558096,54.54852749152411,86.46758813414532
0.25,0.4,0.3976,14,True,12.207502399070476,ppo,7,39.72105462491336,18.851613667103308,51.09937013731216,9.024538683747801
0.25,0.4,0.3976,15,True,10.594148437777811,ppo,10,19.30559791320366,94.37427175599288,44.6646519193132,94.06941383313367
